"sido_id","gubun","deathCnt","incDec","qurRate","defCnt","overFlowCnt","localOccCnt"
"11",서울,5865,16372,"56342",5357808,1,16371
"26",부산,2597,4856,"48000",1608178,5,4851
"27",대구,1776,3760,"50274",1199251,6,3754
"28",인천,1658,4517,"53810",1586533,8,4509
"29",광주,745,2020,"55465",799589,1,2019
"30",대전,846,2588,"55168",801185,0,2588
"31",울산,469,1330,"51850",581546,2,1328
"36",세종,49,640,"58190",216404,0,640
"41",경기,7689,22132,"54629",7410626,6,22126
"42",강원,1167,2021,"53034",815920,1,2020
"43",충북,924,2058,"53925",861415,2,2056
"44",충남,1388,3167,"52135",1104884,0,3167
"45",전북,1092,2315,"51560",921295,2,2313
"46",전남,782,2469,"48723",892995,1,2468
"47",경북,1871,2740,"47816",1255935,5,2735
"48",경남,1632,4215,"49142",1628656,3,4212
"50",제주,227,363,"51835",350796,0,363
